block_height,hash,waiting_time,gas_price,gas_used,fees
6819078,610a43,4,21000000000,55700,1169700000000000
6819256,b0a703,3,14500000000,36433,528278500000000
6819569,05b77b,47,10000000000,21000,210000000000000
6819057,be000b,0,62000000000,44800,2777600000000000
6819346,9ed09a,50,12000000000,21000,252000000000000
6819301,3befee,9,60000000000,21000,1260000000000000
6819055,b2069e,1,20000000000,36800,736000000000000
6819063,e44fc6,27,9900000000,51650,511335000000000
6819176,148d04,2,12000000000,37488,449856000000000
6819404,5ef665,1,25000000000,21000,525000000000000
6819106,3124ba,6,71000000000,21000,1491000000000000
6819170,2029c4,22,10000000000,21000,210000000000000
6819590,3da44e,5,66000000000,37879,2500014000000000
6819018,081262,32,8801000000,79985,703947985000000
6819293,432be4,3,30000000000,41935,1258050000000000
6819318,ad729c,15,50000000000,53976,2698800000000000
6819162,a852ed,-25,62000000000,21000,1302000000000000
6819003,6249ac,11,50000000000,59111,2955550000000000
6819352,69c921,181,1000000000,21000,21000000000000
6819108,0c3e58,0,1000000000,21000,21000000000000
6819098,da0f21,6,61700000000,143081,8828097700000000
6819572,256824,1,23000000000,21000,483000000000000
6819567,534072,8,50000000000,50057,2502850000000000
6819269,462026,6,71000000000,21000,1491000000000000
6819410,4ce6f8,780,6000000000,141279,847674000000000
6819591,0ec37d,37,66000000000,37879,2500014000000000
6819430,a3d2ad,0,14000000000,21000,294000000000000
6819146,527149,0,60000000000,21000,1260000000000000
6819174,912c79,1,72000000000,36344,2616768000000000
6819303,28cefc,3,62000000000,143081,8871022000000000
6819317,b8ee17,2,50000000000,36779,1838950000000000
6819387,27fc25,176,1000000000,21000,21000000000000
6819220,64be1d,57,62000000000,143081,8871022000000000
6819592,706f93,12,134000000000,21000,2814000000000000
6819462,77b5ac,3,15000681000,14759,221395050879000
6819004,3a2daf,3,41000000000,21000,861000000000000
6819514,edb0f0,18,62000000000,143081,8871022000000000
6819563,b08077,0,31000000000,21000,651000000000000
6819078,0a1b94,26,14000000000,33663,471282000000000
6819412,3cc40b,1446,8300000000,28863,239562900000000
6819404,e99f87,14,12000000000,51852,622224000000000
6819361,9cdb4b,6,30000000000,21000,630000000000000
6819354,68546c,1,12000000000,21000,252000000000000
6819476,46198a,11,50000000000,24212,1210600000000000
6819392,c01021,3,88000000000,21000,1848000000000000
6819470,0c8699,1,21600000000,21000,453600000000000
6819124,a451d1,14,62000000000,143081,8871022000000000
6819137,804a50,6,41000000000,21000,861000000000000
6819169,38a34a,6,16000000000,21000,336000000000000
6819030,a0088f,47,71000000000,21000,1491000000000000
6819073,d85e15,3284,3000000000,21000,63000000000000
6819172,2b55bc,77,1000000000,21000,21000000000000
6819174,d2ee5a,2,71000000000,21000,1491000000000000
6819019,36ae82,4,20000000000,21000,420000000000000
6819313,a15d5f,4,31450004492,21000,660450094332000
6819460,3c068e,0,15000000000,91827,1377405000000000
6819601,2dca1e,16,61607123343,143081,8814808815039783
6819057,dd1125,1,15000000000,329290,4939350000000000
6819214,f42312,13,62000000000,21000,1302000000000000
6819231,06435c,25,15134045350,21000,317814952350000
6819097,79ea31,3,10000000000,21000,210000000000000
6819597,c5314a,3,15000000000,36927,553905000000000
6819313,95e642,17,31000000000,21000,651000000000000
6819143,683f10,20,72000000000,37420,2694240000000000
6819372,45a81a,-23,88000000000,21000,1848000000000000
6819484,6e3edc,4,45746031746,21000,960666666666000
6819597,e4cec6,3,25000000000,44700,1117500000000000
6819306,078b3d,2,62000000000,21000,1302000000000000
6819227,22a9e9,4,30000000000,21000,630000000000000
6819174,101c34,1,31000000000,21000,651000000000000
6819132,12cc7a,0,3000000000,21000,63000000000000
6819302,f73475,25,25000000000,21000,525000000000000
6819334,42ca0d,8,41000000000,51352,2105432000000000
6819355,f4b9df,11,62000000000,143081,8871022000000000
6819412,92b48a,623,6000000000,121604,729624000000000
6819527,e490cb,0,45746031746,21000,960666666666000
